id,category,section,question,honbun,choice1,choice2,choice3,choice4,answer
Q00022,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,契りおきし花のさかりを<告げ>ぬかな春やまだ来ぬ花や匂はぬ,ガ行下二段活用,ガ行四段活用,ガ行上一段活用,ガ行上二段活用,ガ行下二段活用
Q00016,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,冬深くなりたれば、川風けはしく吹き<上げ>つつ堪へがたくおぼえけり。,ガ行四段活用,ガ行下二段活用,ガ行上一段活用,ガ行上二段活用,ガ行下二段活用
Q00060,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,額をつきし薬師仏の立ちたまへるを、見捨てたてまつる悲しくて、人知れずうち<泣か>れぬ。,カ行上一段活用,カ行四段活用,カ行上二段活用,カ行下二段活用,カ行四段活用
Q00012,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,うち<おどろき>たれば、夢なりけり。,カ行上一段活用,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行四段活用
Q00005,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,弥生の朔日ごろに、西山の奥なる所に<行き>たる、人目も見えず、のどのどと霞みわたりたるに、,カ行上二段活用,カ行下二段活用,カ行上一段活用,カ行四段活用,カ行四段活用
Q00099,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,几帳おし出でたる下より色々の衣こぼれ出で、梅桜<咲き>たるに、鴬木伝ひ鳴きたるを見せて、『これを見るはうれしな』とのたまふとなむ見えし。,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行四段活用
Q00089,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,世の中に「長恨歌」といふ書を物語に<書き>てある所あんなりと聞くに,カ行上一段活用,カ行上二段活用,カ行四段活用,カ行下二段活用,カ行四段活用
Q00105,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いみじう風の<吹く>日、宇治の渡りをするに、網代いと近う漕ぎ寄りたり。,カ行四段活用,カ行下二段活用,カ行上二段活用,カ行上一段活用,カ行四段活用
Q00096,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,夜昼<嘆か>るるを聞く心地、花紅葉の思ひもみな忘れて悲しく、,カ行上二段活用,カ行上一段活用,カ行四段活用,カ行下二段活用,カ行四段活用
Q00080,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いと暗くなりて三条の宮の西なる所に<着き>ぬ。,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行四段活用
Q00081,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,また<聞け>ば、侍従の大納言の御むすめ亡くなりたまひぬなり。,カ行下二段活用,カ行上一段活用,カ行上二段活用,カ行四段活用,カ行四段活用
Q00091,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「大納言殿の姫君」と呼びしかば、聞き知り顔に<鳴き>て歩み来などせしかば、,カ行上二段活用,カ行四段活用,カ行上一段活用,カ行下二段活用,カ行四段活用
Q00040,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,池の鳥どもの、夜もすがら声々羽ぶき<さわぐ>音のするに、目も覚めて、,ガ行上一段活用,ガ行四段活用,ガ行下二段活用,ガ行上二段活用,ガ行四段活用
Q00018,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,菊の濃く薄き八つばかりに、濃き掻練を上に<着>たり。,カ行四段活用,カ行上二段活用,カ行下二段活用,カ行上一段活用,カ行上一段活用
Q00043,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,などて、多くの年月を、いたづらにて臥し<起き>しに、おこなひをも物詣でをもせざりけむ。,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行上二段活用,カ行上二段活用
Q00002,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,今宵宿らむも中間に、汐満ち<来>なば、ここをも過ぎじとあるかぎり走りまどひ過ぎぬ。,ナ行変格活用,サ行変格活用,ラ行変格活用,カ行変格活用,カ行変格活用
Q00092,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,袖をうちおほひて、いま一人をもかき<寄せ>て、思ふぞいみじきや。,サ行上二段活用,サ行下二段活用,サ行上一段活用,サ行四段活用,サ行下二段活用
